deweyClass,title,checktimes,years,months,days
005.133,"Java 2 for the World Wide Web",1,2006,1,2
005.133,"Java examples in a nutshell",1,2006,1,3
005.7585,"Learn SQL in a weekend",1,2006,1,3
005.72,"Instant PHP 4",1,2006,1,3
005.2762,"PHP MySQL for dummies",1,2006,1,3
005.133,"Sams teach yourself the C language in 21 days",1,2006,1,3
005.2762,"Designing with Javascript creating dynamic Web pages",1,2006,1,3
005.133,"Sams teach yourself C in 21 days",1,2006,1,4
005.133,"Java examples in a nutshell",1,2006,1,4
005.133,"Beginning programming with Java for dummies",1,2006,1,4
005.2768,"Microsoft ASP NET programming with Microsoft Visual C NET step by step version 2003",1,2006,1,4
005.71262,"JavaScript a beginners guide",1,2006,1,4
005.2762,"Web database applications with PHP and MySQL",1,2006,1,5
005.2762,"PHP 5 fast easy web development",1,2006,1,5
005.133,"Beginning programming with Java for dummies",1,2006,1,6
005.133,"Exceptional C 47 engineering puzzles programming problems and solutions",1,2006,1,6
005.133,"Head first Java",1,2006,1,6
005.133,"JavaScript comprehensive",1,2006,1,6
005.133,"JavaScript the definitive guide",1,2006,1,6
005.133,"Python in a nutshell",1,2006,1,7
005.133,"Java for dummies",1,2006,1,8
005.2762,"JavaScript for the World Wide Web",1,2006,1,8
005.72,"Scripting XML and WMI for Microsoft SQL server 2000 professional developers guide",1,2006,1,9
005.133,"Learning Java",1,2006,1,9
005.133,"Java in a nutshell",1,2006,1,9
005.72,"JavaScript and DHTML cookbook",1,2006,1,9
005.133,"Sams teach yourself Java 2 in 21 days",1,2006,1,10
005.133,"Java in a nutshell",1,2006,1,10
005.133,"Java programming from the beginning",1,2006,1,10
005.133,"Head first Java",1,2006,1,10
005.2768,"Managed C and NET development",1,2006,1,11
005.72,"Java and XML",1,2006,1,11
005.72,"JavaScript and DHTML cookbook",1,2006,1,11
005.7585,"Sams teach yourself Microsoft SQL server 7 0 in 21 days",1,2006,1,11
005.7585,"XML and SQL Server 2000",1,2006,1,11
005.2762,"Professional JavaScript",1,2006,1,11
005.133,"Java programming from the beginning",1,2006,1,11
005.133,"JavaScript the definitive guide",1,2006,1,11
005.133,"Sams teach yourself the C language in 21 days",2,2006,1,11
005.2762,"Advanced JavaScript insights and innovative techniques",1,2006,1,11
005.72,"JavaScript 1 5 by example",1,2006,1,12
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,1,13
005.133,"Visual C 2005 a developers notebook",1,2006,1,13
005.133,"complete idiots guide to Java 2",1,2006,1,13
005.133,"Java in a nutshell",1,2006,1,13
005.133,"Learn Java in a weekend",1,2006,1,13
005.133,"Object oriented C data structures for real programmers",1,2006,1,13
005.2762,"JavaServer pages",1,2006,1,13
005.72,"MCAD MCSD self paced training kit Developing Web applications with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 305 and 70 315",1,2006,1,14
005.7565,"Sams teach yourself SQL in 21 days",1,2006,1,14
005.7585,"MCSE MCSD SQL Server 7 database design study guide",1,2006,1,14
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,1,24
005.72,"JavaScript and DHTML cookbook",1,2006,1,24
005.133,"Instant C programming",1,2006,1,24
005.133,"Java in a nutshell",1,2006,1,25
005.7585,"Inside Microsoft SQL Server 2000",1,2006,1,25
005.133,"Python in a nutshell",1,2006,1,25
005.133,"Beginning programming with Java for dummies",1,2006,1,25
005.133,"Concurrent programming in Java design principles and patterns",1,2006,1,25
005.133,"Exceptional C 47 engineering puzzles programming problems and solutions",1,2006,1,25
005.133,"Beginning Java 2",1,2006,1,26
005.7585,"Learn Microsoft SQL Server 2000",1,2006,1,26
005.7585,"Oracle DBA SQL quick reference",1,2006,1,26
005.7585,"Transact SQL desk reference",1,2006,1,26
005.133,"How not to program in C 111 broken programs and 3 working ones or why does 22 5986",1,2006,1,26
005.133,"Java 2 exam cram",1,2006,1,26
005.133,"Java 2 for the World Wide Web",1,2006,1,26
005.133,"Accelerated C practical programming by example",1,2006,1,26
005.133,"Thinking in Java",1,2006,1,26
005.276,"Advanced JavaServer pages",1,2006,1,26
005.2768,"MCAD MCSD self paced training kit developing XML Web services and server components with Microsoft Visual Basic NET and Microsoft Visual C NET exams 70 310 and 70 320",1,2006,1,26
005.71262,"JavaScript a beginners guide",1,2006,1,26
005.133,"More Java pitfalls 50 new time saving solutions and workarounds",1,2006,1,26
005.133,"JavaScript the definitive guide",1,2006,1,27
005.2762,"Professional JavaScript",1,2006,1,27
005.2768,"Microsoft Visual C NET step by step version 2003",1,2006,1,27
005.72,"DHTML and JavaScript cascading style sheets JavaScript style sheets JavaScripted layers plus advanced JavaScript 1 2 1 3",1,2006,1,27
005.133,"Python in a nutshell",1,2006,1,27
005.133,"Sams teach yourself the C language in 21 days",1,2006,1,27
005.133,"Sun certified programmer for Java 2 study guide",1,2006,1,28
005.155,"Java how to program",1,2006,1,28
005.133,"How not to program in C 111 broken programs and 3 working ones or why does 22 5986",1,2006,1,28
005.133,"Java 2 for the World Wide Web",1,2006,1,28
005.133,"Java 2 the complete reference",1,2006,1,28
005.133,"Beginning programming with Java for dummies",1,2006,1,28
005.72,"Struts in action building web applications with the leading Java framework",1,2006,1,28
005.72,"Web development with JavaServer pages",1,2006,1,28
005.72,"XML and PHP",1,2006,1,28
005.7565,"Sams teach yourself SQL in 21 days",1,2006,1,28
005.7585,"Oracle DBA SQL quick reference",1,2006,1,28
005.133,"Object oriented programming in Java",1,2006,1,28
005.2762,"PHP 5 fast easy web development",1,2006,1,28
005.2762,"Web database applications with PHP and MySQL",3,2006,1,28
005.71262,"Java in a nutshell a desktop quick reference",1,2006,1,28
005.2762,"PHP MySQL for dummies",1,2006,1,29
005.133,"PHP essentials",1,2006,1,29
005.133,"Java NIO",1,2006,1,30
005.133,"Secure PHP development building 50 practical applications",1,2006,1,30
005.133,"Core Java 2 volume II advanced features",1,2006,1,30
005.133,"Head first Java",1,2006,1,31
005.133,"Sams teach yourself C in 24 hours",1,2006,1,31
005.133,"Sams teach yourself the C language in 21 days",1,2006,1,31
005.133,"Practical C programming",1,2006,1,31
005.756,"Learn SQL in three days",1,2006,1,31
